Organization Name,Organization Name URL,Description,B2B Binary
Naïo Technologies,https://www.crunchbase.com/organization/naio-technologies,Naïo Technologies develops and markets robots for agriculture and viticulture.,1
Alan,https://www.crunchbase.com/organization/alan-3,Alan provides online digital insurance services that modernizes the way individuals access and manage their healthcare.,1
comet,https://www.crunchbase.com/organization/comet-95df,"Comet finds the best freelancers for any IT projects, in a matter of hours.",1
"SimpliField, a Field Agent company",https://www.crunchbase.com/organization/simplifield,"Simplifield is a mobile platform for internal communications, retail operations, and advanced performance analytics.",1
Planity,https://www.crunchbase.com/organization/planity-2,"Planity is an online booking platform for beauty appointments, including haircuts, beauty salons, barbers, manicures, and spas.",0
BioSerenity,https://www.crunchbase.com/organization/bioserenity,BioSerenity provides remote monitoring and diagnostic software for healthcare sectors.,1
Preligens,https://www.crunchbase.com/organization/earthcube,We develop pioneering technology to empower analysts to take smart actions for a safer world,1
#NAME?,https://www.crunchbase.com/organization/simple-fr,#NAME?,1
October,https://www.crunchbase.com/organization/lendix,"October is an online marketplace for business loans, enabling investors to lend money directly to small- and medium-sized enterprises.",1
Wecasa,https://www.crunchbase.com/organization/wecasa,"Wecasa is a marketplace that provides a range of at-home services including cleaning, hairdressing, and beauty treatments.",0
Agorapulse,https://www.crunchbase.com/organization/agorapulse,"AgoraPulse is an affordable, all-in-one, self-service Social Media platform for SMBs and agencies.",1
Weglot,https://www.crunchbase.com/organization/weglot,"Weglot is a no-code translation solution for websites, offering a simple and user-friendly interface for website users.",1
iAdvize,https://www.crunchbase.com/organization/iadvize,iAdvize is a conversational marketing platform that connects customers in need of advice with experts who are available 24/7 via messaging. ,0
Actility,https://www.crunchbase.com/organization/actility,"Actility provides smart energy management, machine-to-machine(M2M) and Internet of things(IoT) services.",1
DATAGALAXY,https://www.crunchbase.com/organization/datagalaxy,DataGalaxy is the industry's first Data Knowledge Catalog helping organizations understand how their entire business runs on data,1
Ornikar,https://www.crunchbase.com/organization/ornikar,"Ornikar is an online driving school that offers radically cheaper, uncomplicated and faster offer to obtain a driving license.",0
MWM,https://www.crunchbase.com/organization/music-world-media,MWM is designing and scaling mobile apps powered by in-house AI technologies,0
Adikteev,https://www.crunchbase.com/organization/adikteev,Adikteev is building the app engagement ecosystem to help game publishers maximizing user LTV,1
Scaleflex,https://www.crunchbase.com/organization/scaleflex,"Digital Asset Management, Image Optimisation and CDN Delivery, Web Acceleration",1
Cosmo Connected,https://www.crunchbase.com/organization/cosmo-connected,The Leader in Connected Safety in Urban Mobility.,1
Wakeo,https://www.crunchbase.com/organization/wakeo,Wakeo provides a Saas platform to bring real time visibility on B2B transport flows.,1
Yogosha,https://www.crunchbase.com/organization/yogosha,Yogosha is a french bug bounty platform.,1
Happydemics,https://www.crunchbase.com/organization/happydemics,Third Party Brand Lift Solution,1
Elum Energy,https://www.crunchbase.com/organization/elum-energy,Elum Energy is an energy and automation company.,1
Gojob,https://www.crunchbase.com/organization/gojob,Gojob is an employment service platform that provides temporary job offers.,0
Shotgun,https://www.crunchbase.com/organization/shotgun,Shotgun is a global underground nightlife guide and ticketing solution.,0
Rise Up,https://www.crunchbase.com/organization/rise-up-2272,Rise Up is a learning software solution designed to help organizations and their teams stay up-to-skill to be ready for challenges.,1
Zelros,https://www.crunchbase.com/organization/zelros,Zelros is an end-to-end AI business platform that integrate standard scenarios for sales & claims.,1
mediarithmics,https://www.crunchbase.com/organization/mediarithmics,"mediarithmics is a nextgen CDP for large enterprise customers in media, retail and data centric brands",1
Febus Optics,https://www.crunchbase.com/organization/febus-optics,Febus Optics is an innovative company bringing a new generation of optical fiber.,1
ENTEROME,https://www.crunchbase.com/organization/enterome,Enterome is a clinical-stage company developing breakthrough immunomodulatory drugs for the treatment of cancer and immune diseases.,1
Pledg,https://www.crunchbase.com/organization/pledg,Pledg is an innovative payment solution that allows a person to buy for a group without advancing the others.,1
Eligo Bioscience,https://www.crunchbase.com/organization/eligo-bioscience,"Eligobiotics provides a new approach to explore, understand, and control bacterial ecosystems both in human and animals.",1
Pili,https://www.crunchbase.com/organization/pili,"PiLi biofabricates a sustainable alternative to create renewable inks to replace their toxic, non-biological, and non-recyclable versions.",1
Cardiologs,https://www.crunchbase.com/organization/cardiologs,"Cardiologs' mission is to democratize expert cardiac care globally, by empowering all actors in the care chain with AI.",1
Hubcycle,https://www.crunchbase.com/organization/hub-cycle,Hubcycle converts fruit and vegetable waste into raw materials for the hygiene and food industries.,1
Sensome,https://www.crunchbase.com/organization/instent,Sensome offers micro-sensor technology to turn medical devices into connected healthcare devices.,1
PhantomBuster,https://www.crunchbase.com/organization/phantombuster,PhantomBuster opens a new era of lead generation.,1
SENCROP,https://www.crunchbase.com/organization/sencrop,Sencrop is an ag-tech startup that empowers farmers to make better decisions in their daily agricultural activities.,1
Talentsoft,https://www.crunchbase.com/organization/talentsoft,Talentsoft is the European leader in cloud-based talent management and learning software.,1
inmemori,https://www.crunchbase.com/organization/inmemori,1 million people around the world used inmemori to celebrate the life of their loved one.,0
Agricool,https://www.crunchbase.com/organization/agricool,"Agricool grows local, tasty and pesticide-free fruits and vegetables by recycling shipping containers into urban farms.",1
talent.io,https://www.crunchbase.com/organization/talent-io,talent.io is Europe's fastest growing recruitment platform for tech profiles.,0
Tricares,https://www.crunchbase.com/organization/tricares,"TRiCares is a medical device company, devoted to developing a catheter-based valve replacement system.",1
Wynd,https://www.crunchbase.com/organization/wynd-2,"Wynd provides cloud-based PoS solutions for restaurants, hospitality, and retail industries.",1
Elistair,https://www.crunchbase.com/organization/elistair,The Tethered Drone Company.,1
Karos,https://www.crunchbase.com/organization/karos,"Karos transform available car seats into public transport networks, leveraging AI and mobile technologies.",1
Sweetch Energy,https://www.crunchbase.com/organization/sweetch-energy-ff1e,Sweetch Energy is created to leverage most recent academic discoveries in nanotechnologies and materials in the blue osmotic energy field.,1
Kardinal,https://www.crunchbase.com/organization/kardinal,"Kardinal is a Last Mile Delivery Optimization platform designed to improve operational performance, actionable from day 1.",1
DAMAE Medical,https://www.crunchbase.com/organization/damae-medical,DAMAE Medical develops an innovative imaging process for quick and non-invasive skin cancer detection.,1
CellProthera,https://www.crunchbase.com/organization/cellprothera,"CellProthera is a medical biotech company based in Mulhouse, France.",1
Pricemoov,https://www.crunchbase.com/organization/pricemoov,Pricemoov is a pricing optimization software that helps e-commerce businesses increase their profits through dynamic pricing.,1
Ouihelp,https://www.crunchbase.com/organization/ouihelp,Ouihelp is a developer of an online residential assistance platform designed to help seniors in their regular activities at home.,0
Foodvisor,https://www.crunchbase.com/organization/foodvisor,Foodvisor app helps you eat smarter and healthier by instantly analyzing the nutrients in your food.,0
Quantum Surgical,https://www.crunchbase.com/organization/quantum-surgical,Quantum Surgical mission is to democratize minimally invasive liver cancer treatment,1
Skillup,https://www.crunchbase.com/organization/skillup,Leading curated marketplace directly connecting companies with the best training providers with over 20 000 trainings and 50 000 reviews.,1
Upmem,https://www.crunchbase.com/organization/upmem,"UPMEM offers the first scalable, programmable and efficient Processing-In-Memory (PIM) silicon-based solution for data-intensive apps.",1
Tinyclues,https://www.crunchbase.com/organization/tinyclues,Tinyclues is the only solution that allows brands to scale their customer marketing by predicting unexpressed customer demand.,1
EyeLights,https://www.crunchbase.com/organization/eyelights,EyeLights provides guidance solutions for motorcycles and driving aids.,0
Goodays (ex Critizr),https://www.crunchbase.com/organization/critizr,Goodays (formerly Critizr) is Europe's leading Customer Experience Management Platform.,1
Snips,https://www.crunchbase.com/organization/snips-2,Snips is an artificial intelligence voice platform.,1
Fizimed,https://www.crunchbase.com/organization/fizimed,Fizimed  is specializes in the development of connected medical devices for rehabilitation.,0
Fifteen,https://www.crunchbase.com/organization/smoove-bb3a,"Fifteen designs, installs, and manufactures self-service bike solutions and mobility services, integrated in a multimodal.",1
Aryballe Technologies,https://www.crunchbase.com/organization/aryballe-technologies,Aryballe Technologies was created in Grenoble/France by a team of scientists and entrepreneurs.,1
Step Pharma,https://www.crunchbase.com/organization/step-pharma,Step Pharma is a biotechnology company.,1
Interactive Autonomous DYnamic Systems,https://www.crunchbase.com/organization/iadys,Iadys designs robotic and AI solutions like the Jellyfishbot for environmental preservation and oil spill response.,1
Certideal,https://www.crunchbase.com/organization/certideal,Certideal est le spécialiste français du smartphone reconditionné.,0
Pandascore,https://www.crunchbase.com/organization/pandascore,Esports data & odds provider,0
Zenpark,https://www.crunchbase.com/organization/zenpark,Zenpark is a shared car park operator and smart parking app.,1
Heuritech,https://www.crunchbase.com/organization/heuritech,Heuritech is a cutting-edge fashion technology company that offers brands predictive analytics on trends and products using AI technology.,1
Popchef,https://www.crunchbase.com/organization/popchef,Popchef is a French leader of food delivery for people at work.,0
Susu,https://www.crunchbase.com/organization/susu,Susu is a health care centre that provides preventive care medical treatments.,0
Algama,https://www.crunchbase.com/organization/algama,Nature's solution for food's future. We harvest algae to create food that's good for both people and the planet.,1
Foxintelligence,https://www.crunchbase.com/organization/foxintelligence,Foxintelligence provides reliable insights available for e-commerce.,1
Everimpact,https://www.crunchbase.com/organization/everimpact,"Carbon Tracking system for Cities, Ships, Ports, and industrial sites",1
PEP-Therapy,https://www.crunchbase.com/organization/pep-therapy,Innovative peptides as targeted therapies for oncology,1
Xenothera,https://www.crunchbase.com/organization/xenothera,Xenothera is a xenotherapy platform with embedded technology that renovates immunological treatments.,1
Chefclub,https://www.crunchbase.com/organization/chefclub,Chefclub is a cooking channel that shows and broadcasts cooking recipes on television and the internet.,0
Dayuse.com,https://www.crunchbase.com/organization/dayuse-com,Dayuse.com is a platform for booking daytime hotel experiences.,0
Frichti,https://www.crunchbase.com/organization/frichti,"Frichti is a groceries delivery company, and is one of the leaders of quick-commerce in France and Belgium.",0
Airthium,https://www.crunchbase.com/organization/airthium,"Airthium guarantee the availability of solar and wind energy, all year long, making seasonal storage a reality.",1
Mindsay,https://www.crunchbase.com/organization/mindsay,Mindsay helps companies provide one-to-one care at scale with conversational AI.,1
Weenat,https://www.crunchbase.com/organization/weenat,Weenat developer of agriculture platform that provides farmers with mobile and connected solutions.,1
hemea (ex-Travauxlib),https://www.crunchbase.com/organization/travauxlib,hemea is SaaS-enabled marketplace between homeowner wishing to renovate their home and carefully filtered and rated contractors & architects,0
Imeon Energy,https://www.crunchbase.com/organization/imeon-energy,Imeon Energy specializes in distribution of hybrid solar inverters incorporating artificial intelligence to produce solar electricity.,1
Station,https://www.crunchbase.com/organization/station-2,Station aims to be the app store of software-as-a-service by becoming the web browser people use while at work.,1
Sinay,https://www.crunchbase.com/organization/sinay,"Sinay provides numerous solutions for maritime sector stakeholders, such as collecting and analysing maritime data.",1
Arenametrix,https://www.crunchbase.com/organization/tech-4-team,Arenametrix is the first Customer Data Platform dedicated to entertainment.,1
Check & Visit,https://www.crunchbase.com/organization/check-visit,Check & Visit is a experts make the inventory with photos of your apartment.,0
Effy,https://www.crunchbase.com/organization/effy-502c,Effy is a France based energy renovation company.,1
Gymlib,https://www.crunchbase.com/organization/gymlib-com,Gymlib is a French startup that aggregate thousands of gyms to offer sports and wellbeing service for companies and their employees,0
TEEPTRAK,https://www.crunchbase.com/organization/teeptrak,Connected solutions to monitor industrial performance,1
O'clock,https://www.crunchbase.com/organization/o-clock,"O'clock, an online school redefining remote education with real-time instruction in tech domains, prepares learners for digital sector jobs.",0
Dolead,https://www.crunchbase.com/organization/dolead,Dolead works alongside your existing marketing & sales team to generate high quality leads at a fixed cost per lead.,1
Teemo,https://www.crunchbase.com/organization/databerries,Teemo offers digital and personalized marketing solutions leveraging consumers offline behavior.,1
Verteego,https://www.crunchbase.com/organization/verteego,"Verteego provides customizable AI solutions to retail and CPGs to optimize prices, promotions, inventory, assortment and resources.",1
HostnFly,https://www.crunchbase.com/organization/hostnfly,HostnFly is a B2C start-up that develops machine-learning algorithms to optimize revenue on platforms like Airbnb.,0
Nalo,https://www.crunchbase.com/organization/nalo,"Nalo is a developer of smart digital platform intended to manage, secure and boosting capital of investor.",1
Gens de Confiance,https://www.crunchbase.com/organization/gens-de-confiance,GensDeConfiance is a secure classified posts board for trustworthy people (recommended by at least three other members of the community).,0
Clovis,https://www.crunchbase.com/organization/clovis,"Clovis is the result of collaborative work between construction professionals: prime contractors, building owners and builders.",1
Darewise Entertainment,https://www.crunchbase.com/organization/darewise-entertainment,Darewise Entertainment is a social online gaming company that provides interactive and socially-connected experiences through gaming.,0
NewHeat,https://www.crunchbase.com/organization/newheat,NewHeat owns and operates solar heat plants.,1
Ta-da,https://www.crunchbase.com/organization/ta-da,Ta-da is an AI data marketplace that innovates crowdsourcing technique using blockchain technology to collect and validate data.,1
Simundia,https://www.crunchbase.com/organization/simundia,Simundia is a provider of digital coaching platform for a personalized development experience.,0
Wingly,https://www.crunchbase.com/organization/wingly,Wingly is a flight sharing platform where private pilots offer their flights and passengers can fly with them.,0
Bird Office,https://www.crunchbase.com/organization/bird-office,Bird Office helps companies find the ideal venue for all of their corporate events.,1
Rediv,https://www.crunchbase.com/organization/patatam,Rediv is a leading european online shop to buy and sell like-new kids' clothing.,0
Octoly,https://www.crunchbase.com/organization/octoly,Octoly is a marketing company that empowers influencers  to become successful entrepreneurs.,1
Niryo,https://www.crunchbase.com/organization/niryo,Niryo is a provider of educational robots intended to help in prototype industrial case studies.,1
PayLead,https://www.crunchbase.com/organization/paylead,PayLead operates automatic cashback experiences for Financial Institutions,1
Tchek,https://www.crunchbase.com/organization/tchek,Tchek is a startup that uses Artificial Intelligence (AI) for car inspection.,1
Tracktor,https://www.crunchbase.com/organization/tracktor,"Tracktor is a rental platform for construction workers, enabling them to rent out or borrow construction equipment in a few clicks.",1
Energiency,https://www.crunchbase.com/organization/energiency,Energiency is SaaS platform to assess and manage energy performance industrial environment.,1
Laclarée,https://www.crunchbase.com/organization/laclarée,Laclarée develops a pair of adaptive eyeglasses for presbyopia.,0
Nannybag,https://www.crunchbase.com/organization/nannybag,Nannybag is a collaborative luggage storage network that allows travelers to entrust their belongings to local hotels and stores.,0
Beekast,https://www.crunchbase.com/organization/beekast-2,"Beekast is an online platform (saas) that helps you create, lead and track your meetings, events and training sessions.",1
Velco,https://www.crunchbase.com/organization/velco,Velco accompanies professionals with its connectivity solutions for a safer and more reliable urban mobility,1
Little Worker,https://www.crunchbase.com/organization/little-worker,Little Worker is SaaS-enabled marketplace between homeowner wishing to renovate their home and local contractors.,0
Polene,https://www.crunchbase.com/organization/polene,"Polene is a French brand of high leather goods, based in Paris.",0
CAD.42,https://www.crunchbase.com/organization/cad-42,SaaS platform to protect ressources and optimize workflows on jobsites,1
Goshaba,https://www.crunchbase.com/organization/goshaba,Goshaba builds a solution that objectively identifies the profiles in a recruitment process.,1
AdEchoTech,https://www.crunchbase.com/organization/adechotech,AdEchoTech is specialized in tele-ultrasound with a robotic solution named MELODY.,1
Trusk,https://www.crunchbase.com/organization/trusk,Trusk is a freight forwarder company that moves furniture on demand.,0
Deepki,https://www.crunchbase.com/organization/deepki,Deepki helps real estate owners reduce their carbon footprints.,1
CapCar,https://www.crunchbase.com/organization/capcar,CapCar is the first actor of the used vehicle to offer individuals cars and services of quality.,0
Drivy,https://www.crunchbase.com/organization/drivy,Drivy is the car rental marketplace in Europe.,0
Uavia,https://www.crunchbase.com/organization/uavia-2,Uavia enables industries to connect autonomous drones and robots to the cloud and deploy mobile robots at scale in a smart and secure way.,1
Meero,https://www.crunchbase.com/organization/meero,"Meero is a photo creation company that offers AI-powered photography production, quality check, and enhancement solutions.",1
Invivox,https://www.crunchbase.com/organization/invivox,Invivox is the first worlwide plateform connecting doctors for a practical in situ medical training in 1 to 1 or in very small group.,1
Wing,https://www.crunchbase.com/organization/wing,Ship from store and shipping solutions for retailers and ecommerce,1
ReachFive,https://www.crunchbase.com/organization/reachfive,ReachFive provides a cloud based customer identity and access management enterprise platform.,1
Cardiawave,https://www.crunchbase.com/organization/cardiawave,Cardiawave is a medical device company .,1
klassroom,https://www.crunchbase.com/organization/klassroom,The first parent-teacher communication app designed specifically for elementary schools,0
LiveMentor,https://www.crunchbase.com/organization/livementor,"LiveMentor is a francophone education platform, that provides remote tutoring.",0
HomeRez,https://www.crunchbase.com/organization/homerez,HomeRez is a centralised service for the safe and simple booking of holiday rental properties.,0
Privateaser,https://www.crunchbase.com/organization/privateaser,"Privateaser is an online booking platform to book bars, restaurants and rental rooms for Group Events.",0
Algaia,https://www.crunchbase.com/organization/algaia,"Algaia is a company developing, producing and commercializing Natural Extracts, mostly made out of seaweed.",1
Mipise,https://www.crunchbase.com/organization/mipise,MIPISE is the creation of white-label Crowdfunding platforms.,1
Limatech,https://www.crunchbase.com/organization/limatech,Limatech is a lithium-ion battery manufacturing company that provides batteries for aviation with applications across space and defense.,1
Scortex,https://www.crunchbase.com/organization/scortex,Scortex enables manufacturers to take control of their quality thanks to its Quality Intelligence Solution.,1
IMATAG,https://www.crunchbase.com/organization/imatag,"SaaS solutions for Visual Content Protection (digital watermarking, visual recognition, web monitoring)",1
Adagio,https://www.crunchbase.com/organization/onfocus-io,Adagio (ex-Onfocus) develops technologies to help premium publishers face the adblocking and ad viewability challenges.,1
VitaDX,https://www.crunchbase.com/organization/vitadx,VitaDX develops a non-invasive solution for early bladder cancer diagnosis.,1
Clustree,https://www.crunchbase.com/organization/clustree,Clustree offers an artificial intelligence solution that makes career management accessible to all employees.,1
Alsid,https://www.crunchbase.com/organization/alsid,Alsid IT builds innovative solutions to help companies secure their directory infrastructures.,1
i-Virtual,https://www.crunchbase.com/organization/i-virtual,i-Virtual develops an advanced AI-powered solution that enables touchless measurement of vital signs through a simple image or video capture,1
Kwit,https://www.crunchbase.com/organization/kwit,Kwit develops smoking cessation scientific methods and helps you on a daily basis with positivity and kindness.,0
InUse,https://www.crunchbase.com/organization/optimdata,"Software editor founded in 2015, offering a SaaS application that delivers IoT based connected services for factories",1
Urban Campus,https://www.crunchbase.com/organization/onethird,Urban Campus designs and operates people-centric campuses in European cities to redefine the way we live together,1
Strapi,https://www.crunchbase.com/organization/strapi,"Strapi is an open-source software platform that helps developers to easily build, deploy, and manage APIs.",1
Jenji,https://www.crunchbase.com/organization/jenji,Jenji is one of the leading enterprise expense management solution.,1
Per Angusta,https://www.crunchbase.com/organization/per-angusta,Per Angusta is an agile procurement performance management platform that develops a SaaS to enhance the performance of procurement teams.,1
CORE FOR TECH,https://www.crunchbase.com/organization/fipsico,CORE for Tech is the first ever Drowsy driving prevention solution thanks to Bio-feedback expertise.,1
Tediber,https://www.crunchbase.com/organization/tediber,Tediber is an online mattress brand that manufactures and supplies sleeping mattresses for everyone.,1
Homeloop,https://www.crunchbase.com/organization/homeloop,"Homeloop is an online platform that helps users appraise the value of a property they want to sell, receive an offer to buy within 48 hours.",0
Moments Lab,https://www.crunchbase.com/organization/newsbridge,Moments Lab is an AI solutions provider that helps to describe audiovisual content using generative and multimodal AI.,1
Shadow,https://www.crunchbase.com/organization/shadow-3,Shadow is a high-performance cloud-based computer that has an automated hardware evolution.,1
Nexdot,https://www.crunchbase.com/organization/nexdot-2,Nexdot is the first company worldwide to develop a new generation of Quantum Dots: the Nanoplatelets.,1
Jay&Joy,https://www.crunchbase.com/organization/jay-joy,Jay&Joy is a manufacturing company that provides almond milk and cashew nuts cheese alternatives.,0
SmartViser,https://www.crunchbase.com/organization/smartviser,"SmartViser is a forerunner of automated testing, based on the virtual user concept.",1
MiiMOSA,https://www.crunchbase.com/organization/miimosa,MiiMOSA operates a crowd funding platform dedicated to agriculture and food.,0
askR.ai,https://www.crunchbase.com/organization/askr-ai,"askR.ai the first AI-based data assistant which instantly answers your business questions by processing your data, with no skills needed.",1
CyGO Entrepreneurs,https://www.crunchbase.com/organization/cygo-entrepreneurs,CyGO Entrepreneurs empowers European founders to create and scale world-class cybersecurity ventures globally.,1
Kiute,https://www.crunchbase.com/organization/flexybeauty,Kiute is an online and mobile booking platform that helps to find a nearby beauty professional and make an appointment.,0
AbbeLight,https://www.crunchbase.com/organization/abbelight,Abbelight offers innovative solutions in the field of super-resolution microscopy (nanoscopy) and membrane imaging for biological research.,1
Cryptosense,https://www.crunchbase.com/organization/cryptosense,Cryptosense provides security software that allows to detect & correct vulnerabilities caused by misuse of cryptography in applications.,1
Doinsport,https://www.crunchbase.com/organization/doinsport,"Doinsport is a SaaS company that offers a club management system for sport and leisure centers for bookings, online payments and PoS system.",0
MyC,https://www.crunchbase.com/organization/myc-8445,MyC is a software platform that provides a data collection and management app that provides employers with predictive analysis.,1
Le slip Francais,https://www.crunchbase.com/organization/le-slip-français,Le slip Francais is a modern French entreprise.,0
WIZBII,https://www.crunchbase.com/organization/wizbii,1er acteur pour l'entrée dans la vie active de jeunes,0
Myfood,https://www.crunchbase.com/organization/myfood,Myfood designs turnkey connected greenhouses for all those who wish to produce their own food.,1
SteerFox,https://www.crunchbase.com/organization/steerfox,"SteerFox helps e-commerce retailers create, automate, and optimize their online ad campaigns.",1
Instant System,https://www.crunchbase.com/organization/instant-system,Instant System is a software company that provides multimodal transport solutions.,1
Simplon.co,https://www.crunchbase.com/organization/simplon-co,Simplon.co are a network of social digital factories in France and abroad.,1
Heetch,https://www.crunchbase.com/organization/heetch,"Heetch is a ride-sharing app targeted at late night transportation seekers, offering an alternative to taxis.",0
Asphalte,https://www.crunchbase.com/organization/asphalte,"Asphalte is an E-commerce platform that provides clothing, accessories, and footwear for men and women.",0
Soundcharts,https://www.crunchbase.com/organization/soundcharts,Soundcharts is the market-intelligence platform of the music industry.,1
Atlan Space,https://www.crunchbase.com/organization/atlan-space,Mission Based Constellations for Drone Service Providers,1
Vectaury,https://www.crunchbase.com/organization/vectaury,Vectaury is a mobile adtech platform specialised in retail solutions.,1
Revers.io,https://www.crunchbase.com/organization/sav-group,Revers.io is a SaaS platform to handle all of your reverse logistics and repairs,1
Dynacure,https://www.crunchbase.com/organization/dynacure,Dynacure is a clinical-stage drug development company focused on improving the lives of patients with rare and orphan diseases.,1
Lepermislibre,https://www.crunchbase.com/organization/lepermislibre-af16,Lepermislibre is an online driving school for booking hours and learning the highway code.,0
Stratumn,https://www.crunchbase.com/organization/stratumn,Stratumn provides the finance departments with a SaaS solution that optimizes their end-to-end financial processes.,1
Homeland Immo,https://www.crunchbase.com/organization/homeland-immo,Homeland is an operator of a building management company dedicated to office and residential buildings.,1
BuyBox,https://www.crunchbase.com/organization/buybox,"BuyBox provides an omnichannel gift card solution, helping brands create a customer acquisition channel.",1
Keen Eye Technologies,https://www.crunchbase.com/organization/keen-eye-technologies,Keen Eye Technologies is a health tech company.,1
Lynxter,https://www.crunchbase.com/organization/lynxter,Lynxter is a 3D machine manufacturing firm that develops standard and customized models.,1
ZAR,https://www.crunchbase.com/organization/wezzar,Zar develops an artificial intelligence coaching platform for esports gamers.,0
Moona,https://www.crunchbase.com/organization/moona,Moona is a revolutionary sleep device that actively improves sleep through temperature.,0
Yatedo,https://www.crunchbase.com/organization/yatedo,Yatedo is a free people search engine that enables users to find and contact anyone on the web.,0
Particeep,https://www.crunchbase.com/organization/particeep,"Particeep offers banks, insurers and asset management companies no code solutions to sell financial products.",1
Prevision.io,https://www.crunchbase.com/organization/prevision-io,"Prevision's enterprise AI platform enables business users, data scientists, and developers to deliver AI apps with better ROI, faster.",1
Captain Contrat,https://www.crunchbase.com/organization/captain-contrat-2,Captain Contrat is a legal and administrative pillar that accompanies VSEs and SMEs in all stages of the development.,1
FoodChéri,https://www.crunchbase.com/organization/foodcheri,Foodcheri is a virtual restaurant that delivers meals to its customers through its mobile app.,0
Addworking,https://www.crunchbase.com/organization/addworking,Addworking handles the management of freelancers and service providers in companies via its Cost and Risk management platform.,1
Indexima,https://www.crunchbase.com/organization/indexima,Indexima is creating momentum for Data Driven companies aiming for Zero Time to Data. ,1
Admo.tv,https://www.crunchbase.com/organization/admo-tv,Admo.tv is the best TV analytics platform that helps TV & radio advertisers to measure and optimise the online impact.,1
isahit,https://www.crunchbase.com/organization/isahit,Ethical Data Labeling Platform for AI & Data Processing,1
Qapa,https://www.crunchbase.com/organization/qapa,Qapa is a job matching marketplace that connects job seekers and recruiters with a matching algorithm.,0
LegalVision.fr,https://www.crunchbase.com/organization/legalvision-fr,LegalVision is a web-based software that allows lawyers and business owners to manage their legal documents and process.,1
Yuka,https://www.crunchbase.com/organization/yuka,Application that scans and analyzes your diet,0
SchoolMouv,https://www.crunchbase.com/organization/schoolmouv,SchoolMouv is a provider of an online educational platform to offer video courses.,0
Spaycial,https://www.crunchbase.com/organization/transaction-connect,Spaycial enables better relationship between people and brands by leveraging payment data,1
Actronika,https://www.crunchbase.com/organization/actronika,Actronika builds haptic platforms enabling a seamless systems integration.,1
MyLight Systems,https://www.crunchbase.com/organization/mylight-systems,MyLight Systems is develops innovative energy management solution designed to allow homeowners produce &consume their own solar electricity.,1
WYCA Robotics,https://www.crunchbase.com/organization/wyca-robotics,WYCA Robotics develops accessible indoor autonomous vehicles.,1
Studapart,https://www.crunchbase.com/organization/studapart-2,Studapart is a white label plateform SaaS editor for high schools and universities.,1
Tictactrip,https://www.crunchbase.com/organization/tictactrip,"Comparateur intermodal de bus, trains et covoiturage. Propose en plus une offre inédite, des combinaisons de ces différents transports.",0
Cyclofix,https://www.crunchbase.com/organization/cyclofix,Cyclofix offers home bicycle repair services for its clients.,0
Reezocar,https://www.crunchbase.com/organization/reezocar,Reezocar makes it easy to find and secure the purchase of used car in Europe.,0
Trustt,https://www.crunchbase.com/organization/trustt,Trustt is a SaaS solution that guarantees product success with proprietary communities.,1
Quable,https://www.crunchbase.com/organization/quable,Quable PIM is a simple and collaborative SaaS platform that optimises product information management and omnichannel distribution.,1
Sentryo,https://www.crunchbase.com/organization/sentryo,Sentryo develops and provides cybersecurity and situation awareness solutions to industrial networks and the internet of things.,1
Deeplink Medical,https://www.crunchbase.com/organization/deeplink-medical,Deeplink Medical is provides information technology (IT) solutions for telemedicine projects.,1
Ector,https://www.crunchbase.com/organization/ector,Ector is provider of a parking system intended to allow travelers to leave their cars with valets at airports or train stations.,0
Unistellar,https://www.crunchbase.com/organization/unistellar-2,Unistellar is an incredibly powerful and accurate backyard telescope.,0
Manager.one,https://www.crunchbase.com/organization/manager-one,"Manager.one is the fully online banking platform that caters to all types of entrepreneurs ,as well as the association sector.",1
TRYON Environnement,https://www.crunchbase.com/organization/tryon-environnement,"TRYON, the project of installation of anaerobic digestion at home. ",1
Energysquare,https://www.crunchbase.com/organization/energysquare,Energysquare produces conductive wireless chargers that allow users to charge all devices on an ultrathin pad.,0
Braineet,https://www.crunchbase.com/organization/braineet,"Braineet is the innovation hub used by corporate teams to pilot their innovation strategy, foster an innovation culture and create growth.",1
Notilo Plus,https://www.crunchbase.com/organization/notilo-plus,"Notilo Plus is the company behind iBubble, the world's first autonomous underwater drone that follows you during your dives and captures.",0
Hillo,https://www.crunchbase.com/organization/healsy,Hillo develops an AI-based platform for diabetic patients.,1
Dronisos - drone shows,https://www.crunchbase.com/organization/dronisos,Dronisos provides indoor or outdoor drone light shows.,1
Dataleon,https://www.crunchbase.com/organization/dataleon,Dataleon offers the most advanced Machine Learning solutions for data processing and automation.,1
HARi&CO (ICI&LÀ),https://www.crunchbase.com/organization/hari-co-ici-là,Hari & Co's is an online food products company intended to provide organic and healthier food.,0
iskn,https://www.crunchbase.com/organization/iskn,iskn is a consumer electronics company that develops and markets the slate for smart drawing.,0
Botfuel,https://www.crunchbase.com/organization/botfuel,Botfuel operates as a web-based platform and SDK that offers chatbots for individuals and businesses.,1
Poiscaille,https://www.crunchbase.com/organization/poiscaille,"Poiscaille produces seafood, fruit, and vegetable baskets.",0
Les Opticiens Mobiles,https://www.crunchbase.com/organization/les-opticiens-mobiles,Access visual health directly where you live and work !,0
